DATE,T10YFFM
1994-05-01,3.17
1994-06-01,2.85
1994-07-01,3.04
1994-08-01,2.77
1994-09-01,2.73
1994-10-01,2.98
1994-11-01,2.67
1994-12-01,2.36
1995-01-01,2.25
1995-02-01,1.55
1995-03-01,1.22
1995-04-01,1.01
1995-05-01,0.62
1995-06-01,0.17
1995-07-01,0.43
1995-08-01,0.75
1995-09-01,0.40
1995-10-01,0.28
1995-11-01,0.13
1995-12-01,0.11
1996-01-01,0.09
1996-02-01,0.59
1996-03-01,0.96
1996-04-01,1.29
1996-05-01,1.50
1996-06-01,1.64
1996-07-01,1.47
1996-08-01,1.42
1996-09-01,1.53
1996-10-01,1.29
1996-11-01,0.89
1996-12-01,1.01
1997-01-01,1.33
1997-02-01,1.23
1997-03-01,1.30
1997-04-01,1.38
1997-05-01,1.21
1997-06-01,0.93
1997-07-01,0.70
1997-08-01,0.76
1997-09-01,0.67
1997-10-01,0.53
1997-11-01,0.36
1997-12-01,0.31
1998-01-01,-0.02
1998-02-01,0.06
1998-03-01,0.16
1998-04-01,0.19
1998-05-01,0.16
1998-06-01,-0.06
1998-07-01,-0.08
1998-08-01,-0.21
1998-09-01,-0.70
1998-10-01,-0.54
1998-11-01,0.00
1998-12-01,-0.03
1999-01-01,0.09
1999-02-01,0.24
1999-03-01,0.42
1999-04-01,0.44
1999-05-01,0.80
1999-06-01,1.14
1999-07-01,0.80
1999-08-01,0.87
1999-09-01,0.70
1999-10-01,0.91
1999-11-01,0.61
1999-12-01,0.98
2000-01-01,1.21
2000-02-01,0.79
2000-03-01,0.41
2000-04-01,-0.03
2000-05-01,0.17
2000-06-01,-0.43
2000-07-01,-0.49
2000-08-01,-0.67
2000-09-01,-0.72
2000-10-01,-0.77
2000-11-01,-0.79
2000-12-01,-1.16
2001-01-01,-0.82
2001-02-01,-0.39
2001-03-01,-0.42
2001-04-01,0.34
2001-05-01,1.18
2001-06-01,1.31
2001-07-01,1.47
2001-08-01,1.32
2001-09-01,1.66
2001-10-01,2.08
2001-11-01,2.56
2001-12-01,3.27
2002-01-01,3.31
2002-02-01,3.17
2002-03-01,3.55
2002-04-01,3.46
2002-05-01,3.41
2002-06-01,3.18
2002-07-01,2.92
2002-08-01,2.52
2002-09-01,2.12
2002-10-01,2.19
2002-11-01,2.71
2002-12-01,2.79
2003-01-01,2.81
2003-02-01,2.64
2003-03-01,2.56
2003-04-01,2.70
2003-05-01,2.31
2003-06-01,2.11
2003-07-01,2.97
2003-08-01,3.42
2003-09-01,3.26
2003-10-01,3.28
2003-11-01,3.30
2003-12-01,3.29
2004-01-01,3.15
2004-02-01,3.07
2004-03-01,2.83
2004-04-01,3.35
2004-05-01,3.72
2004-06-01,3.70
2004-07-01,3.24
2004-08-01,2.85
2004-09-01,2.52
2004-10-01,2.34
2004-11-01,2.26
2004-12-01,2.07
2005-01-01,1.94
2005-02-01,1.67
2005-03-01,1.87
2005-04-01,1.55
2005-05-01,1.14
2005-06-01,0.96
2005-07-01,0.92
2005-08-01,0.76
2005-09-01,0.58
2005-10-01,0.68
2005-11-01,0.54
2005-12-01,0.31
2006-01-01,0.13
2006-02-01,0.08
2006-03-01,0.13
2006-04-01,0.20
2006-05-01,0.17
2006-06-01,0.12
2006-07-01,-0.15
2006-08-01,-0.37
2006-09-01,-0.53
2006-10-01,-0.52
2006-11-01,-0.65
2006-12-01,-0.68
2007-01-01,-0.49
2007-02-01,-0.54
2007-03-01,-0.70
2007-04-01,-0.56
2007-05-01,-0.50
2007-06-01,-0.15
2007-07-01,-0.26
2007-08-01,-0.35
2007-09-01,-0.42
2007-10-01,-0.23
2007-11-01,-0.34
2007-12-01,-0.14
2008-01-01,-0.20
2008-02-01,0.76
2008-03-01,0.90
2008-04-01,1.40
2008-05-01,1.90
2008-06-01,2.10
2008-07-01,2.00
2008-08-01,1.89
2008-09-01,1.88
2008-10-01,2.84
2008-11-01,3.14
2008-12-01,2.26
2009-01-01,2.37
2009-02-01,2.65
2009-03-01,2.64
2009-04-01,2.78
2009-05-01,3.11
2009-06-01,3.51
2009-07-01,3.40
2009-08-01,3.43
2009-09-01,3.25
2009-10-01,3.27
2009-11-01,3.28
2009-12-01,3.47
2010-01-01,3.62
2010-02-01,3.56
2010-03-01,3.57
2010-04-01,3.65
2010-05-01,3.22
2010-06-01,3.02
2010-07-01,2.83
2010-08-01,2.51
2010-09-01,2.46
2010-10-01,2.35
2010-11-01,2.57
2010-12-01,3.11
2011-01-01,3.22
2011-02-01,3.42
2011-03-01,3.27
2011-04-01,3.36
2011-05-01,3.08
2011-06-01,2.91
2011-07-01,2.93
2011-08-01,2.20
2011-09-01,1.90
2011-10-01,2.08
2011-11-01,1.93
2011-12-01,1.91
2012-01-01,1.89
2012-02-01,1.87
2012-03-01,2.04
2012-04-01,1.91
2012-05-01,1.64
2012-06-01,1.46
2012-07-01,1.37
2012-08-01,1.55
2012-09-01,1.58
2012-10-01,1.59
2012-11-01,1.49
2012-12-01,1.56
2013-01-01,1.77
2013-02-01,1.83
2013-03-01,1.82
2013-04-01,1.61
2013-05-01,1.82
2013-06-01,2.21
2013-07-01,2.49
2013-08-01,2.66
2013-09-01,2.73
2013-10-01,2.53
2013-11-01,2.64
2013-12-01,2.81
2014-01-01,2.79
2014-02-01,2.64
2014-03-01,2.64
2014-04-01,2.62
2014-05-01,2.47
2014-06-01,2.50
2014-07-01,2.45
2014-08-01,2.33
2014-09-01,2.44
2014-10-01,2.21
2014-11-01,2.24
2014-12-01,2.09
2015-01-01,1.77
2015-02-01,1.87
2015-03-01,1.93
2015-04-01,1.82
2015-05-01,2.08
2015-06-01,2.23
2015-07-01,2.19
2015-08-01,2.03
2015-09-01,2.03
2015-10-01,1.95
2015-11-01,2.14
2015-12-01,2.00
2016-01-01,1.75
2016-02-01,1.40
2016-03-01,1.53
2016-04-01,1.44
2016-05-01,1.44
2016-06-01,1.26
2016-07-01,1.11
2016-08-01,1.16
2016-09-01,1.23
2016-10-01,1.36
2016-11-01,1.73
2016-12-01,1.95
2017-01-01,1.78
2017-02-01,1.76
2017-03-01,1.69
2017-04-01,1.40
2017-05-01,1.39
2017-06-01,1.15
2017-07-01,1.17
2017-08-01,1.05
2017-09-01,1.05
2017-10-01,1.21
2017-11-01,1.19
2017-12-01,1.1
2018-01-01,1.17
2018-02-01,1.44
2018-03-01,1.33
2018-04-01,1.18
2018-05-01,1.28
2018-06-01,1.09
2018-07-01,0.98
2018-08-01,0.98
2018-09-01,1.05
2018-10-01,0.96
2018-11-01,0.92
2018-12-01,0.56
